ip,anonymityLevel,asn,country,isp,latency,org,port,protocols,responseTime,speed,updated_at,upTime,upTimeSuccessCount,upTimeTryCount
"119.235.54.138","elite","AS45582","IN","VAINAVI INDUSTIES LTD, INTERNET SERVICE PROVIDER, INDIA","144","Vainavi Industries Ltd","5678","socks4","3789","1","2025-11-08T01:08:51.582Z","92","9970","10829"
"171.112.92.10","elite","AS4134","CN","Chinanet","256","Chinanet HB","38801","socks4","1896","1","2025-11-08T01:08:51.376Z","72","2013","2810"
"192.3.28.239","elite","AS36352","US","HostPapa","101","24vc","8080","socks4","4489","1","2025-11-08T01:08:51.372Z","98","4096","4160"
"89.116.250.39","elite","AS209242","LT","Lrtc Network","7","SC \"Lithuanian Radio and TV Center\"","80","http","908","18015","2025-11-08T01:08:51.299Z","100","74","74"
"185.89.156.130","elite","AS198279","AL","ATU","34","N/A","5678","socks4","1607","1","2025-11-08T01:08:51.576Z","99","10806","10885"
"89.116.250.136","elite","AS209242","LT","Lrtc Network","10","SC \"Lithuanian Radio and TV Center\"","80","http","4905","18006","2025-11-08T01:08:51.300Z","100","79","79"
"104.18.26.78","elite","AS13335","US","Cloudflare, Inc.","3","Cloudflare, Inc.","80","http","4783","18019","2025-11-08T01:08:51.296Z","100","35","35"
"77.149.185.202","elite","AS15557","FR","Societe Francaise Du Radiotelephone - SFR SA","62","N/A","39361","socks4","4591","1","2025-11-08T01:08:51.372Z","100","2528","2533"
"199.102.105.242","elite","AS46562","US","Performive LLC","191","ZeroLag Communications","4145","socks4","4691","1","2025-11-08T01:08:51.371Z","97","905","929"
"51.75.126.150","elite","AS16276","FR","OVH SAS","15","OVH","58068","socks4","3977","1","2025-11-08T01:08:51.581Z","97","671","692"
"104.17.81.118","elite","AS13335","US","Cloudflare, Inc.","7","Cloudflare, Inc.","80","http","4613","18020","2025-11-08T01:08:51.295Z","100","73","73"
"92.205.110.118","elite","AS21499","FR","Host Europe GmbH","62","GCN SXB1","26657","socks4","104","1","2025-11-08T01:08:51.581Z","94","3788","4039"
"185.162.229.238","elite","AS209242","GB","Cloudflare London, LLC","3","Softconstruct Limited","80","http","3290","17878","2025-11-08T01:08:51.302Z","100","33","33"
"104.25.0.136","elite","AS13335","US","Cloudflare, Inc.","62","Cloudflare, Inc.","80","http","4891","18018","2025-11-08T01:08:51.297Z","100","36","36"
"188.255.244.49","elite","AS52116","RS","Orion Telekom ISP IP Network in Subotica","31","Orion Telekom Tim d.o.o.Beograd","1080","socks4","4901","1","2025-11-08T01:08:51.582Z","100","10927","10942"
"185.220.101.5","elite","AS60729","DE","Stiftung Erneuerbare Freiheit","15","Artikel10 e.V","9051","socks4","4307","1","2025-11-08T01:08:51.576Z","99","3367","3397"
"168.205.218.26","elite","AS264869","BR","SPEED MAX TELECOMUNICAÇÕES LTDA ME","202","SPEED MAX TELECOMUNICAÇÕES LTDA ME","4145","socks4","3388","1","2025-11-08T01:08:51.373Z","86","9313","10832"
"185.162.229.97","elite","AS209242","GB","Cloudflare London, LLC","10","Softconstruct Limited","80","http","3473","17877","2025-11-08T01:08:51.368Z","100","75","75"
"45.231.30.254","elite","AS267188","BR","Net Info Informatica Ltda","207","Net Info Informatica Ltda","4153","socks4","4295","1","2025-11-08T01:08:31.973Z","51","5553","10865"
"122.146.95.183","elite","AS9919","TW","New Century InfoComm Tech. Co., Ltd.","285","NCICNET","4145","socks4","3714","1","2025-11-08T01:08:31.668Z","99","4120","4165"
"105.214.65.244","elite","AS16637","ZA","MTN SA","184","MTN SA","5678","socks4","4514","1","2025-11-08T01:08:31.665Z","67","2803","4177"
"177.87.230.31","elite","AS262309","BR","BMBB SERVIÇOS DE COMUNICAÇÃO LTDA","219","BMBB SERVIÇOS DE COMUNICAÇÃO LTDA","43573","socks4","2619","1","2025-11-08T01:08:31.974Z","99","10868","10946"
"109.75.34.152","elite","AS44395","AM","UCOM","58","N/A","59341","socks4","4196","1","2025-11-08T01:08:31.668Z","89","3731","4180"
"41.57.98.61","elite","AS36866","KE","FAIBA","198","N/A","443","socks4","2289","1","2025-11-08T01:08:31.767Z","98","916","934"
"63.141.128.138","elite","AS399566","US","Bigcommerce Inc.","7","Bigcommerce Inc","80","http","4981","17695","2025-11-08T01:08:31.694Z","100","79","79"
"138.197.208.93","elite","AS14061","US","DigitalOcean, LLC","146","Digital Ocean","8080","socks4","4708","1","2025-11-08T01:08:31.597Z","100","10905","10937"
"103.66.233.153","elite","AS134014","IN","NET 4 U SERVICES","140","N/A","4145","socks4","2575","1","2025-11-08T01:08:31.702Z","100","10830","10881"
"159.65.253.201","elite","AS14061","US","DigitalOcean, LLC","83","DigitalOcean, LLC","51080","socks5","4689","1","2025-11-08T01:08:31.701Z","89","9548","10697"
"171.241.47.172","elite","AS7552","VN","Viettel Corporation","220","VIETEL","4007","socks4","3397","1","2025-11-08T01:08:31.764Z","76","8201","10785"
"159.246.55.77","elite","AS209242","US","Cloudflare London, LLC","3","Crowe LLP","80","http","2202","17785","2025-11-08T01:08:31.685Z","100","74","74"
"81.12.124.8","elite","AS42337","IR","Respina Networks & Beyond PJSC","117","Respina Networks","5678","socks4","3476","1","2025-11-08T01:08:31.975Z","86","3519","4078"
"172.67.185.204","elite","AS13335","CA","Cloudflare, Inc.","67","Cloudflare, Inc.","80","http","2087","17974","2025-11-08T01:08:31.682Z","100","74","74"
"149.19.34.150","elite","AS396253","JP","iboss, inc","242","IBOSS","80","socks4","604","1","2025-11-08T01:08:31.667Z","100","950","950"
"89.204.80.190","elite","AS12389","RU","PJSC Rostelecom","77","Rostelecom","4153","socks4","3420","1","2025-11-08T01:08:31.665Z","7","724","10798"
"188.42.88.166","elite","AS209242","NL","Cloudflare London, LLC","10","Servers COM","80","http","4107","17975","2025-11-08T01:08:31.681Z","100","75","75"
"172.66.40.40","elite","AS13335","CA","Cloudflare, Inc.","61","Cloudflare, Inc.","80","http","2206","17983","2025-11-08T01:08:31.672Z","100","74","74"
